,estimated time,layer height,object height,filament used
0,687.0,0.2,20.0,541.01
1,444.0,0.2,20.0,443.63
2,11150.0,0.2,54.2,9099.23
3,50149.0,0.2,55.2,26489.17
4,6531.0,0.2,23.0,4741.75
5,3047.0,0.2,86.0,3108.48
6,141.0,0.2,0.2,60.912800000000004
7,4233.0,0.2,5.0,3052.1699999999996
8,2943.0,0.2,24.4,2004.0200000000002
9,2033.0,0.2,8.0,1951.43
10,447.0,0.2,20.0,337.194
11,401.0,0.2,20.0,306.29200000000003
12,871.0,0.2,20.0,272.279
13,48901.0,0.2,246.6,50471.3
14,4997.0,0.2,48.0,2995.06
15,3157.0,0.2,50.8,1019.0999999999999
16,27493.0,0.2,31.2,14906.2
17,12351.0,0.25,48.7,9282.38
18,11834.0,0.2,50.6,7403.679999999999
19,11576.0,0.2,89.4,7417.74
20,276.0,0.2,3.2,202.49
21,443.0,0.2,2.6,319.517
22,9177.0,0.2,25.2,5548.59
23,2901.0,0.2,48.6,1076.46
24,9316.0,0.2,71.6,4574.38
25,34047.0,0.2,78.0,21314.5
26,18480.0,0.2,60.4,11057.9
27,767.0,0.2,2.4,598.954
28,7878.0,0.2,54.2,5518.04
29,52118.0,0.15,25.1,18786.7
30,12200.0,0.2,60.0,11175.1
31,249.0,0.2,4.0,195.989
32,42143.0,0.15,37.55,17773.399999999998
33,2534.0,0.15,4.25,1343.48
34,16947.0,0.2,63.6,8371.470000000001
35,1417.0,0.2,23.4,1208.99
36,19114.0,0.2,110.1,17175.8
37,17820.0,0.2,5.0,13527.900000000001
38,12712.0,0.15,39.95,5045.69
39,14101.0,0.2,80.0,11825.6
40,33165.0,0.2,126.0,34744.2
41,2111.0,0.2,82.6,1261.0900000000001
42,261.0,0.2,3.0,146.27499999999998
43,3119.0,0.2,31.0,1458.6399999999999
44,18885.0,0.2,22.6,14740.3
45,2091.0,0.15,22.25,1365.31
46,10676.0,0.15,18.8,4512.55
47,623.0,0.2,5.104,372.209
48,2303.0,0.2,46.6,1686.26
49,2020.0,0.2,1.6,1148.49
50,17138.0,0.2,34.2,10781.7
51,18984.0,0.2,105.2,19853.0
52,20130.0,0.2,29.0,13861.800000000001
53,28436.0,0.2,80.0,20127.9
54,2485.0,0.2,101.6,1727.98
55,3170.0,0.2,12.8,2132.71
56,3719.0,0.2,62.0,2835.94
57,3085.0,0.2,60.0,2794.6499999999996
58,17146.0,0.2,15.6,14303.599999999999
59,2338.0,0.2,6.0,1082.57
60,2506.0,0.2,104.8,825.913
61,8115.0,0.2,46.6,5624.73
62,14209.0,0.2,12.0,9647.28
63,2778.0,0.2,15.0,1919.24
64,2234.0,0.2,10.0,1260.12
65,9136.0,0.15,50.0,6092.7699999999995
66,1231.0,0.2,48.0,528.675
67,11186.0,0.2,38.0,9957.779999999999
68,5390.0,0.2,6.6,3401.2799999999997
69,8828.0,0.2,111.6,4680.58
70,2858.0,0.2,13.0,2058.49
71,5888.0,0.2,14.0,3696.04
72,2534.0,0.2,15.0,1189.05
73,3614.0,0.2,48.8,1969.88
74,7264.0,0.2,25.4,5044.1900000000005
75,7913.0,0.2,43.5,6140.23
76,2834.0,0.2,10.0,2816.9300000000003
77,241.0,0.2,6.0,124.84299999999999
78,3750.0,0.2,10.0,3445.8700000000003
79,2136.0,0.2,4.0,1647.46
80,13757.0,0.2,37.2,9743.37
81,1390.0,0.2,14.0,1122.67
82,31700.0,0.2,126.0,35136.1
83,36731.0,0.26,126.04,46557.4
84,2919.0,0.2,10.0,1828.14
85,783.0,0.2,20.0,276.418
86,12834.0,0.2,106.6,8737.439999999999
87,5472.0,0.2,50.0,3747.23
88,25355.0,0.2,31.6,12142.6
89,29495.0,0.15,38.75,14471.7
90,6859.0,0.2,8.4,2781.11
91,4014.0,0.2,21.6,2865.46
92,5534.0,0.2,43.4,3816.1
93,6175.0,0.2,63.8,8779.27
94,2162.0,0.2,23.0,2960.47
95,20277.0,0.2,16.2,17419.3
96,20014.0,0.2,16.4,17527.6
97,35345.0,0.2,46.0,25239.6
98,9877.0,0.2,26.8,9729.33
99,6540.0,0.2,4.0,4783.400000000001
100,4515.0,0.2,12.4,2890.23
101,4142.0,0.2,12.4,1599.3
102,3002.0,0.2,6.4,1335.37
103,23469.0,0.2,18.0,20150.1
104,526.0,0.2,1.4,197.556
105,3752.0,0.2,23.4,3347.6
106,8797.0,0.2,19.0,5327.26
107,3393.0,0.15,9.65,1638.77
108,750.0,0.2,49.902,300.115
109,4282.0,0.25,29.95,4072.31
110,39948.0,0.2,41.2,24703.399999999998
111,2264.0,0.15,39.65,1447.2
112,10207.0,0.15,12.05,5356.46
113,14811.0,0.2,34.0,9593.94
114,1621.0,0.2,8.2,1299.48
115,2604.0,0.2,50.0,1496.1599999999999
116,3822.0,0.2,5.0,3078.9300000000003
117,1982.0,0.2,14.6,1139.0
118,15800.0,0.2,103.8,8746.9
119,9013.0,0.2,70.0,7193.31
120,4126.0,0.2,70.2,2251.75
121,2085.0,0.2,28.0,610.953
122,1279.0,0.2,8.8,726.9330000000001
123,13359.0,0.2,149.29,11659.4
124,2231.0,0.15,6.95,952.663
125,1206.0,0.2,4.0,1014.4
126,49608.0,0.15,37.55,18103.100000000002
127,8851.0,0.2,25.8,5944.75
128,432.0,0.2,15.0,272.018
129,1971.0,0.2,25.0,1219.8899999999999
130,4712.0,0.2,8.6,2988.54
131,5246.0,0.2,16.6,2062.73
132,8169.0,0.2,10.09,4663.13
133,2456.0,0.2,21.1,2157.2
134,58678.0,0.26,197.02,59318.8
135,3855.0,0.2,53.8,3312.49
136,4518.0,0.2,10.0,2260.94
137,3074.0,0.2,5.0,1544.02
138,6418.0,0.15,62.0,5103.49
139,5394.0,0.2,18.4,3146.74
140,13788.0,0.2,72.317,5705.19
141,2249.0,0.2,12.0,1577.08
142,2789.0,0.2,8.29,4247.34
143,324.0,0.2,4.0,222.34699999999998
144,2032.0,0.15,6.95,1331.78
145,4132.0,0.2,12.6,2282.52
146,12171.0,0.2,67.6,7253.0
147,391.0,0.2,20.0,140.565
148,4342.0,0.2,76.0,3341.84
149,4833.0,0.2,80.0,3113.6499999999996
150,10097.0,0.3,76.1,13806.900000000001
151,2368.0,0.2,8.0,1766.1299999999999
152,22471.0,0.25,148.95,18734.8
153,10829.0,0.16,58.92,6273.19
154,194.0,0.16,5.48,73.0267
155,32608.0,0.2,13.4,26516.4
156,1300.0,0.2,5.0,700.566
157,27309.0,0.2,71.0,18099.8
158,4826.0,0.2,10.0,3843.18
159,32498.0,0.2,108.6,25855.899999999998
160,24656.0,0.2,119.6,20664.899999999998
161,16444.0,0.2,81.6,14233.4
162,1952.0,0.2,16.0,1404.05
163,948.0,0.2,14.4,508.536
164,12476.0,0.2,38.0,10357.5
165,3160.0,0.2,50.8,1021.28
166,8746.0,0.2,22.0,4797.28
167,17773.0,0.2,110.2,16395.9
168,4876.0,0.2,13.0,3640.8900000000003
169,4306.0,0.2,5.0,1803.0900000000001
170,5102.0,0.2,5.0,2083.5499999999997
171,11877.0,0.2,90.0,11137.7
172,27298.0,0.2,71.0,16765.8
173,4125.0,0.2,24.0,3852.91
174,6334.0,0.2,45.8,1740.42
175,80390.0,0.2,38.2,64354.600000000006
176,17665.0,0.2,67.8,9442.4
177,11903.0,0.2,56.0,5662.73
178,4424.0,0.2,60.113,4367.91
179,4424.0,0.2,60.113,4367.91
180,4718.0,0.2,60.0,5177.52
181,4716.0,0.2,60.113,5844.34
182,15267.0,0.2,117.0,9589.35
183,19342.0,0.2,22.2,10506.3
184,11397.0,0.2,16.0,8301.8
185,3386.0,0.2,15.0,1770.78
186,9062.0,0.2,50.69,6277.860000000001
187,1145.0,0.25,4.95,998.3530000000001
188,14357.0,0.2,50.1,12286.5
189,10786.0,0.2,22.0,10797.800000000001
190,19354.0,0.2,40.0,17889.1
191,3985.0,0.2,27.8,2274.08
192,5294.0,0.2,15.0,3677.0499999999997
193,6997.0,0.2,15.0,3551.06
194,10576.0,0.15,23.15,4096.2300000000005
195,2536.0,0.2,76.6,2422.25
196,13409.0,0.2,71.6,15049.8
197,1017.0,0.2,19.0,364.147
198,12095.0,0.2,85.6,8245.960000000001
199,4680.0,0.2,5.6,2940.3100000000004
200,6164.0,0.3,50.0,9085.16
201,4526.0,0.3,50.0,6361.99
202,7708.0,0.2,15.0,4840.63
203,19966.0,0.2,56.8,16668.5
204,1262.0,0.2,1.0,951.705
205,3523.0,0.2,31.6,2614.8799999999997
206,292.0,0.2,15.8,77.37140000000001
207,41710.0,0.2,180.0,32754.199999999997
208,2422.0,0.15,8.9,1337.48
209,3328.0,0.2,17.4,2006.8600000000001
210,1279.0,0.2,6.0,637.54
211,888.0,0.2,6.0,267.363
212,2960.0,0.2,51.0,1702.37
213,14900.0,0.2,36.8,16113.3
214,2011.0,0.2,21.4,1053.81
215,1280.0,0.2,23.8,694.038
216,3435.0,0.2,10.0,2033.9999999999998
217,3845.0,0.2,9.6,2812.57
218,2754.0,0.2,36.0,2791.48
219,2347.0,0.15,4.85,1230.57
220,2674.0,0.2,19.4,1889.98
221,675.0,0.15,9.05,317.036
222,2478.0,0.2,35.0,1881.36
223,10152.0,0.2,45.0,7458.2
224,2971.0,0.2,100.111,3737.11
225,5099.0,0.2,28.1,4330.58
226,6872.0,0.2,13.0,5352.24
227,328.0,0.15,3.05,154.947
228,9525.0,0.2,35.0,6617.200000000001
229,2392.0,0.15,9.65,1114.3000000000002
230,3019.0,0.2,9.8,2741.1400000000003
231,5404.0,0.2,18.4,3080.99
232,13989.0,0.3,62.6,16683.3
233,1795.0,0.2,7.0,889.1080000000001
234,3874.0,0.15,9.35,2079.22
235,3789.0,0.2,19.8,2089.57
236,30979.0,0.2,38.2,23457.2
237,23055.0,0.2,50.0,18236.4
238,26775.0,0.2,30.0,21203.5
239,3350.0,0.2,8.6,2626.03
240,12959.0,0.2,34.0,8723.07
241,3981.0,0.15,55.55,1939.32
242,1175.0,0.2,20.0,866.352
243,1407.0,0.2,20.0,1074.33
244,14217.0,0.2,20.0,11009.5
245,4887.0,0.2,5.6,3174.12
246,5943.0,0.2,5.6,3403.99
247,8343.0,0.15,51.2,4439.28
248,2295.0,0.2,51.3,1504.82
249,2645.0,0.2,59.6,1674.4699999999998
250,1470.0,0.2,42.8,819.764
251,1444.0,0.2,42.8,811.838
252,3317.0,0.2,76.4,2102.98
253,8204.0,0.15,93.2,2538.7599999999998
254,27229.0,0.2,56.8,26307.7
255,3016.0,0.2,20.2,2261.35
256,1081.0,0.2,7.0,558.7760000000001
